"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.354198833E0,-1.737407855E-2,-4.605883929E-1,-3.807151347E-1,5.978189861E-1
2.364225833E0,-6.965020560E-2,-3.119886065E-1,-1.076793998E-1,3.373172022E-1
2.374253833E0,-1.712682812E-2,5.053952410E-1,-7.357259095E-2,5.110093972E-1
2.384280833E0,-2.314264732E-1,7.275306713E-1,7.717038274E-2,7.673423995E-1
2.394307833E0,-3.521301074E-1,6.294456021E-1,-7.222422302E-2,7.248542729E-1
2.404335833E0,-5.050731691E-1,4.192223754E-1,-4.676778495E-2,6.580528336E-1
2.414362833E0,-2.494702316E-1,2.230672572E-1,1.144785422E-1,3.536944080E-1
2.424389833E0,3.876713479E-1,-7.975382879E-3,-3.606352115E-1,5.295379462E-1
2.434417833E0,3.948379147E-1,-1.746448564E-1,-3.256191605E-1,5.407639434E-1
2.444444833E0,4.459856662E-1,-3.024203690E-1,-1.075390667E-1,5.494778839E-1
2.454471833E0,9.921774790E-2,-3.850914833E-1,8.162713051E-4,3.976685533E-1
2.464499833E0,-4.302744170E-1,-4.257938784E-1,-1.296327710E-2,6.054787753E-1
2.474526833E0,-2.199527195E-1,-6.748781754E-1,5.709572196E-2,7.121093118E-1
2.484553833E0,5.818326753E-1,-8.812128210E-1,4.616610646E-2,1.056975216E0
2.494581833E0,2.479148356E-1,-9.038349675E-1,8.987404346E-2,9.415183258E-1
2.504608833E0,-2.505661277E-1,-8.929812196E-1,-9.407936096E-2,9.322283889E-1
2.514635833E0,6.673412606E-2,-8.353359324E-1,-1.415230840E-1,8.498637226E-1
2.524663833E0,1.988713874E-1,-2.670364916E-1,-1.175231874E-2,3.331612727E-1
2.534690833E0,1.014558062E-1,4.212088208E-1,-1.759772176E-1,4.676303373E-1
2.544717833E0,-2.761524653E-1,4.979501640E-1,-3.212167919E-2,5.703037368E-1
2.554745833E0,2.134975213E-1,5.728619501E-1,-1.188206846E-1,6.227923896E-1
2.564772833E0,-1.000530409E-1,3.884506721E-1,-1.195931017E-2,4.013073146E-1
2.574799833E0,-1.644081908E-1,3.217664667E-1,-1.131594104E-1,3.786406798E-1
2.584827833E0,-4.939820516E-2,3.397724557E-1,-1.089844984E-1,3.602264915E-1
2.594854833E0,1.096230235E-1,2.322117908E-1,-1.157485574E-1,2.816686912E-1
2.604881833E0,-6.700299291E-2,-9.577739239E-4,-1.024356169E-1,1.224065929E-1
2.614909833E0,-9.260558853E-2,-2.242200357E-1,-3.160420060E-2,2.446410533E-1
2.624936833E0,9.938382709E-2,-2.449453454E-1,-9.641590834E-2,2.813741188E-1
2.634963833E0,1.154713720E-1,-1.320735450E-1,-2.336781263E-2,1.769833713E-1
2.644991833E0,3.858979605E-3,-1.178562229E-1,8.995415032E-2,1.483129467E-1
